Vermessungsbuero	XXX	Auftrag										
Strasse	98											
12345	Irgendwo											
												
Job:	ISLA1	Name:										
Datum:10.07.2010												
Geraet:	TCRA1205+											
												
PNR	Class	CodeID	Rechts	Hoch	eHoehe	oHoehe	rms	E	rms	N	rms	H
	6.WS42	MEAS	--------	197.036	-15.071	1	-0.027	0.005	0.006	0.006		
	6.WS43	MEAS	--------	194.276	-16.889	1	-0.015	0.005	0.006	0.006		
	6.WS44	MEAS	--------	189.702	-17.876	1	-0.037	0.005	0.006	0.006		
	6.WS45	MEAS	--------	186.334	-19.359	1	-0.058	0.005	0.006	0.006		
	6.WS46	MEAS	--------	182.734	-20.143	1	-0.083	0.005	0.006	0.006		
	6.WS47	MEAS	--------	178.99	-20.041	1	-0.094	0.005	0.005	0.005		
	6.WS48	MEAS	--------	176.064	-20.54	1	-0.105	0.005	0.005	0.005		
	6.WS49	MEAS	--------	172.654	-20.844	1	-0.128	0.005	0.005	0.005		
	6.WS50	MEAS	--------	169.354	-21.126	1	-0.155	0.005	0.005	0.005		
	6.WS51	MEAS	--------	164.668	-20.404	1	-0.227	0.005	0.005	0.005		
	6.WS52	MEAS	--------	161.084	-20.741	1	-0.241	0.005	0.005	0.005		
	6.WS53	MEAS	--------	158.541	-21.713	1	-0.235	0.005	0.005	0.005		
	6.WS54	MEAS	--------	155.185	-23.974	1	-0.252	0.005	0.005	0.005		
	6.WS55	MEAS	--------	151.921	-26.012	1	-0.252	0.005	0.005	0.005		
	6.WS56	MEAS	--------	149.013	-29.009	1	-0.279	0.005	0.005	0.005		
	6.WS57	MEAS	--------	145.719	-30.614	1	-0.279	0.005	0.004	0.004		
	6.WS58	MEAS	--------	143.22	-32.843	1	-0.307	0.005	0.004	0.004		
	6.WS59	MEAS	--------	140.891	-34.244	1	-0.289	0.005	0.004	0.004		
	6.WS60	MEAS	--------	138.105	-36.644	1	-0.328	0.005	0.004	0.004		
	6.WS61	MEAS	--------	135.27	-39.306	1	-0.366	0.005	0.004	0.004		
	6.WS62	MEAS	--------	133.934	-42.813	1	-0.42	0.005	0.004	0.004		
	6.WS63	MEAS	--------	132.314	-44.702	1	-0.471	0.005	0.004	0.004		
	6.WS64	MEAS	--------	130.148	-46.874	1	-0.49	0.005	0.004	0.004		
	6.WS65	MEAS	--------	127.377	-49.135	1	-0.508	0.005	0.004	0.004		
	6.WS66	MEAS	--------	124.848	-50.719	1	-0.534	0.005	0.004	0.004		
	6.WS67	MEAS	--------	122.247	-52.033	1	-0.509	0.005	0.004	0.004		
	6.WS68	MEAS	--------	118.777	-53.712	1	-0.513	0.005	0.004	0.004		
	6.WS69	MEAS	--------	116.107	-54.771	1	-0.516	0.005	0.004	0.004		
	6.WS70	MEAS	--------	112.861	-56.056	1	-0.532	0.005	0.004	0.004		
	6.WS71	MEAS	--------	110.287	-57.256	1	-0.526	0.005	0.004	0.004		
	6.WS72	MEAS	--------	108.267	-58.189	1	-0.509	0.005	0.004	0.004		
	6.WS73	MEAS	--------	105.803	-59.129	1	-0.513	0.004	0.004	0.004		
	6.WS74	MEAS	--------	103.54	-60.298	1	-0.539	0.004	0.004	0.003		
	6.WS75	MEAS	--------	101.056	-61.343	1	-0.518	0.004	0.004	0.003		
	6.WS76	MEAS	--------	97.922	-62.657	1	-0.533	0.004	0.004	0.003		
	6.WS77	MEAS	--------	94.853	-64.23	1	-0.529	0.004	0.004	0.003		
	6.WS78	MEAS	--------	92.002	-65.92	1	-0.535	0.004	0.004	0.003		
	6.WS79	MEAS	--------	89.824	-66.91	1	-0.551	0.004	0.004	0.003		
	6.WS80	MEAS	--------	87.286	-68.5	1	-0.554	0.004	0.004	0.003		
